codigo;titulo;tipo_publicacion;anio_publicacion;indexacion;orden_autor;autores;nombre_afiliacion
5;Redes Neuronales Artificiales (RNA) aplicadas en la prediccion de caudales para intervalos de tiempo horarios;ARTÍCULO;2014;LATINDEX;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
8;Explotación de información en el dominio geo-hídrico ecuatoriano utilizando tecnología semántica;ARTÍCULO;2015; ;1;Rosa Lucia Lupercio Novillo;Universidad de Cuenca, Departamento de Ciencias de la Computación
11;INTEGRATING TEXT MINING AND CITATION ANALYSIS IN THE DECISION-MAKING PROCESS FOR LIBRARY COLLECTIONS;ARTÍCULO DE CONFERENCIA;2018;ISI WEB OF SCIENCE (WEB OF KNOWLEDGE);2;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
28;Towards a Functional Requirements Prioritization with early Mutation Testing;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;2;Maria Fernanda Granda Juca;Universidad de Cuenca, Departamento de Ciencias de la Computación
32;Red neuronal para clasificación de riesgo en  cooperativas de ahorro y crédito;ARTÍCULO DE CONFERENCIA;2018;LATINDEX;2;Jose Miguel Orellana Parapi;Universidad de Cuenca, Departamento de Ciencias de la Computación
48;Valoración físico-química y fitotóxica de las aguas residuales depuradas/regeneradas destinadas al riego agrícola;ARTÍCULO;2015; ;1;Luisa Mayra Vera Cabezas;Universidad de Cuenca, Departamento de Ciencias de la Computación
85;Una ontología para representar la información geográfica en el dominio hídrico Ecuatoriano;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Jorge Mauricio Espinoza Mejia;Universidad de Cuenca, Departamento de Ciencias de la Computación
99;RDF-ization of DICOM Medical Images towards Linked Health Data Cloud;ARTÍCULO DE CONFERENCIA;2014;SCOPUS;1;Victor Hugo Saquicela Galarza;Universidad de Cuenca, Departamento de Ciencias de la Computación
130;LEADING CHANGE: A MULTIPLE-CASE STUDY OF LEADERSHIP PRACTICES IN LATIN AMERICAN UNIVERSITIES;ARTÍCULO DE CONFERENCIA;2018;ISI WEB OF SCIENCE (WEB OF KNOWLEDGE);2;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
152;El efecto de la innovación en las mipymes de Cuenca, Ecuador. Estudio observacional descriptivo transversal;ARTÍCULO;2013; ;1;Silvana Vanessa Astudillo Duran;Universidad de Cuenca, Departamento de Ciencias de la Computación
191;Análisis y diseño de un software de gestión de procesos y costos en empresas de ensamblaje;ARTÍCULO;2018;LATINDEX;1;Erik Alejandro Sigcha Quezada;Universidad de Cuenca, Departamento de Ciencias de la Computación
196;Detecting Similar Areas of Knowledge Using Semantic and Data Mining Technologies;ARTÍCULO DE CONFERENCIA;2016;SCOPUS;1;Marco Andres Tello Guerrero;Universidad de Cuenca, Departamento de Ciencias de la Computación
197;An automatic method for the enrichment of DICOM metadata using biomedical ontologies;ARTÍCULO DE CONFERENCIA;2015;SCOPUS;1;Marco Andres Tello Guerrero;Universidad de Cuenca, Departamento de Ciencias de la Computación
229;Mixed Integer Linear Programming (MILP) Approach to Deal with Spatio-temporal Water Allocation;ARTÍCULO;2016;SCOPUS;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
231;SWE Sensor Integration for Controlling Remote Sensors Applied to Hidrometeorological Sensing;ARTÍCULO DE CONFERENCIA;2017;SCOPUS;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
232;Arquitectura para una red de sensores web basada en SWE (Sensor Web Enablement): Caso de estudio para la implementación en sensores hidrometeorológicos;ARTÍCULO DE CONFERENCIA;2017;LATINDEX;1;Lissette Maritza Muñoz Guillen;Universidad de Cuenca, Departamento de Ciencias de la Computación
233;Análisis e implementación de una Infraestructura de Datos Espaciales (IDE). Caso de estudio: Gobierno autónomo descentralizado municipal del cantón Guachapala;ARTÍCULO;2015;LATINDEX;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
234;Análisis y diseño de una red de comunicación para transmitir información de alerta temprana. Caso de estudio: Proyecto de control de inundaciones Bulubulu-Caña...;ARTÍCULO;2016;SIN INDEXAR;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
235;A linear programming approach to optimise the management of water in dammed river systems for meeting demands and preventing floods;ARTÍCULO;2018;SCOPUS;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
274;A Systematic Literature Review of Electronic Invoicing, Platforms and Notifications Systems;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
312;An NFO-LP-model to optimise water allocation in dammed river systems;ARTÍCULO DE CONFERENCIA;2017;SIN INDEXAR;1;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
321;Data repository of mobile applications for people with disabilities in the area of communication and language using data mining techniques;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;3;Victor Hugo Saquicela Galarza;Universidad de Cuenca, Departamento de Ciencias de la Computación
363;Challenges and trends about smart big geospatial data: A position paper;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Victor Hugo Saquicela Galarza;Universidad de Cuenca, Departamento de Ciencias de la Computación
369;Towards a Methodologhy to Extract Forensics Information from the Smartphone Sensors: Finding Evidence;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;4;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
398;Security of Mobile Cloud Computing: A Systematic Mapping Study;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Diego Xavier Jara Juarez;Universidad de Cuenca, Departamento de Ciencias de la Computación
402;Similarity detection among academic contents through semantic technologies and text mining;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Victor Hugo Saquicela Galarza;Universidad de Cuenca, Departamento de Ciencias de la Computación
407;TV program recommender using user authentication on middleware Ginga;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Jorge Efrain Crespo Crespo;Universidad de Cuenca, Departamento de Ciencias de la Computación
421;Current challenges of interactive digital television;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Kenneth Samuel Palacio Baus;Universidad de Cuenca, Departamento de Ciencias de la Computación
453;Mining theory-based patterns from Big data: Identifying self-regulated learning strategies in Massive Open Online Courses;ARTÍCULO;2018;SCOPUS;1;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
467;Footprint analysis using a low cost photo-podoscope;ARTÍCULO DE CONFERENCIA;2018;SCOPUS;1;Carlos Villie Morocho Zurita;Universidad de Cuenca, Departamento de Ciencias de la Computación
541;Towards the Implementation of a Software Platform Based on BPMN and TDABC for Strategic Management;ARTÍCULO DE CONFERENCIA;2019;SCOPUS;1;Erik Alejandro Sigcha Quezada;Universidad de Cuenca, Departamento de Ciencias de la Computación
